a,b,c
0.84227,0.35532,0.0
1.07416,1.26476,0.25163
0.8711,0.4071,0.0
1.1678,-0.43392,0.0
0.92731,0.73921,0.20072
0.76417,0.04982,0.0
2.04273,1.00492,0.18904
1.10604,0.64839,0.17934
1.16049,0.72228,0.25942
0.94909,0.26845,0.32933
0.85637,0.29501,0.3398
0.3613,1.37605,0.18012
1.32614,0.72296,0.19132
1.14226,1.36851,0.0
0.76778,1.39485,0.17935
0.86173,0.5904,0.19641
0.98061,0.59794,0.27719
1.38321,0.25504,0.23772
0.84034,0.15319,0.27037
0.99741,0.54936,0.17187
0.96478,-0.06851,0.29491
0.60462,0.8557,0.2226
1.36029,0.69205,0.29266
0.97116,0.50145,0.0
1.25424,1.27817,0.30517
1.02657,1.24022,0.229
0.80504,-0.15465,0.0
0.59042,-0.21466,0.0
1.01431,0.75456,0.30714
1.20555,0.35338,0.0
1.03107,1.14782,0.0
0.95784,0.58799,0.20452
0.9474,0.5047,0.0
1.07644,0.98537,0.0
0.98975,0.91919,0.0
0.81194,1.4287,0.0
0.69034,0.97809,0.26053
1.3491,0.78577,0.20058
0.95948,0.71031,0.27855
1.01949,1.31005,0.13686
1.07317,1.13041,0.21579
0.91814,0.49319,0.0
1.28588,1.3096,0.27327
0.84296,1.14662,0.0
0.90245,0.4715,0.15976
0.76076,-0.22691,0.38936
0.98047,-0.57872,0.0
1.14126,0.28042,0.0
0.76201,0.01842,0.0
1.32282,0.68275,0.0
1.2259,-0.12353,0.26532
1.0164,-1.15411,0.40083
0.85922,0.76971,0.0
0.83838,-0.55552,0.41136
1.32943,0.97259,0.21552
0.76417,-0.71498,0.50712
1.02043,0.62171,0.0
0.65325,0.05992,0.0
0.83579,0.78783,0.0
1.03583,-0.28161,0.19876
0.91793,1.04042,0.0
0.57331,-0.5916,0.18091
0.44979,-0.01214,0.18484
0.78427,0.27349,0.41504
0.79476,-0.16707,0.0
0.79195,-0.19612,0.24192
1.04747,0.54783,0.14544
1.03843,0.69409,0.0
0.69391,-0.31119,0.21428
0.65827,1.76072,0.0
1.09806,0.79123,0.21867
1.01756,1.5037,0.29254
0.87797,0.16265,0.0
0.75063,1.79416,0.23695
1.14016,0.49393,0.34823
1.71063,0.73412,0.25671
1.47435,0.53094,0.24269
1.00089,1.23281,0.0
0.98989,0.85909,0.0
0.85261,0.09992,0.27046
1.44906,1.10542,0.0
1.28466,0.03285,0.0
1.52715,0.55636,0.0
0.73338,0.79344,0.15466
0.77504,1.16575,0.0
0.9044,-0.59975,0.0
0.85838,0.62016,0.18505
0.67439,1.16338,0.31153
0.80275,0.98988,0.17533
0.91506,0.92899,0.0
0.90155,0.22079,0.26917
1.21294,0.28839,0.0
1.44979,1.26858,0.22184
0.80435,0.75818,0.0
1.28941,0.25106,0.16186
0.90963,-0.31978,0.0
0.9024,1.79587,0.0
1.066,0.67932,0.0
1.3887,0.10253,0.0
0.58859,1.60293,0.0
1.13623,0.18233,0.0
0.83894,0.05303,0.0
0.76921,-0.05894,0.14826
1.13223,0.98564,0.26811
0.3211,1.08428,0.14353
0.40462,-0.19964,0.26324
1.3196,0.81541,0.0
1.063,0.99114,0.0
0.88637,1.14405,0.0
0.96263,0.80143,0.0
1.10547,0.68041,0.0
0.52791,0.76946,0.0
0.73871,0.64962,0.0
1.06226,0.22992,0.43084
0.96614,0.42115,0.18523
0.88337,-0.11886,0.0
0.89167,0.63573,0.0
0.58083,0.34798,0.33137
0.89615,0.59506,0.30421
0.82118,0.94435,0.2675
1.15631,1.10086,0.0
1.00159,1.02421,0.29161
0.50293,1.20055,0.0
1.58507,-0.44702,0.35346
1.05306,0.68317,0.0
0.76374,-0.39095,0.0
0.67277,0.62688,0.18907
1.1814,0.80902,0.34181
1.32561,0.50987,0.18195
0.88296,0.49688,0.24651
0.66541,0.25481,0.30296
1.00949,1.27685,0.0
1.07165,0.05225,0.0
0.99902,-0.15641,0.23684
0.41833,-0.16252,0.32533
0.60832,1.80482,0.0
0.83424,0.16904,0.0
0.57884,-1.42583,0.2987
0.61166,1.04674,0.0
0.53701,-0.21955,0.0
0.90067,0.06986,0.28065
0.86027,0.76182,0.0
0.58959,0.77875,0.0
0.74785,0.94766,0.0
0.98463,1.25466,0.1725
0.90621,1.07285,0.0
0.80924,0.35401,0.32078
1.04514,0.83572,0.0
1.71261,0.53534,0.29397
0.86982,1.2409,0.0
0.89768,1.09914,0.45577
1.0053,1.16506,0.21864
2.03947,1.39924,0.30354
0.83006,0.15727,0.0
1.22147,0.89166,0.0
1.29409,0.74192,0.27831
1.27416,0.42557,0.0
0.99253,0.38897,0.0
0.82869,1.21115,0.21296
1.50015,0.78129,0.16877
0.49691,0.36494,0.38503
0.8667,1.38461,0.0
0.71795,1.12393,0.0
0.88876,0.86361,0.0
0.90366,1.04447,0.21824
1.08518,0.42406,0.0
1.40323,0.2472,0.09151
1.14824,0.77398,0.21298
1.13348,0.50952,0.21098
1.06471,0.65087,0.0
0.99538,0.32644,0.0
0.73691,1.01488,0.27328
0.4599,1.55738,0.19792
0.75512,1.49023,0.0
0.6239,0.38824,0.0
0.77815,0.40627,0.0
0.70511,1.06966,0.20293
0.92095,0.89795,0.23236
1.01032,1.4868,0.35568
0.82642,1.11999,0.20646
1.14983,0.76156,0.19369
0.98118,0.75422,0.23435
0.82098,0.78978,0.24877
1.38608,1.27695,0.0
1.6266,1.01751,0.0
0.81032,0.9048,0.0
1.00316,0.76234,0.21577
1.11515,-0.02766,0.0
0.68676,0.09389,0.22132
0.97648,0.4534,0.26663
0.82805,0.77241,0.17697
0.84072,-0.91081,0.27916
0.56337,0.73572,0.13998
0.82223,0.74552,0.0
1.10484,-0.03894,0.18529
0.83109,0.25128,0.27653
1.17434,0.33015,0.28658
0.60905,-0.00762,0.24651
0.73805,0.54057,0.0
1.83559,0.82523,0.17132
1.30856,0.63824,0.0
1.01553,0.40193,0.0
1.18254,0.46448,0.19232
0.52441,0.79454,0.0
0.59568,0.62718,0.0
0.57498,0.93656,0.23664
0.78227,1.4998,0.0
1.7792,1.4483,0.29617
1.14294,0.67277,0.0
1.01642,0.99625,0.19841
0.89099,0.698,0.32585
0.71756,0.66736,0.0
0.91308,0.90215,0.0
1.07047,1.3384,0.11883
0.85473,0.17648,0.0
0.48827,0.71646,0.0
0.97921,0.94397,0.0
0.88563,0.84438,0.0
0.9954,0.13988,0.4633
1.0926,0.45948,0.0
0.899,-0.37466,0.0
0.82878,0.39971,0.0
1.07301,0.78013,0.34271
1.30133,0.95823,0.15266
0.98805,0.11953,0.33535
1.05232,-0.52301,0.38358
0.56968,-1.05555,0.25
0.98447,0.43867,0.1812
0.91218,0.36343,0.15097
0.82666,0.2676,0.13667
0.88432,0.33683,0.0
1.16534,0.62072,0.27075
0.65068,-1.06405,0.0
0.55449,0.06929,0.0
1.15613,0.58049,0.0
1.33172,0.93081,0.0
0.91021,1.33399,0.0
0.86605,0.04366,0.0
1.21385,0.22146,0.23176
0.88958,-0.00189,0.0
0.9179,0.35977,0.28243
0.84464,1.71049,0.0
0.67739,-0.42119,0.16116
0.42602,0.86471,0.0
1.20326,0.94731,0.29836
0.78138,0.81871,0.34895
0.97745,0.33617,0.19734
0.78409,0.79208,0.0
1.16108,1.33688,0.0
0.72288,0.27989,0.35804
0.39904,0.55818,0.15339
0.71629,0.31294,0.0
0.88139,1.62176,0.20248
0.78134,0.64091,0.0
0.82278,1.0648,0.2227
1.27198,0.38575,0.24318
1.59168,1.13323,0.25606
0.86916,0.07406,0.14403
1.07043,0.77079,0.15005
0.7799,0.40121,0.0
0.84341,2.08393,0.0
1.20103,1.30736,0.25899
0.95758,0.78267,0.34882
0.75071,0.70667,0.18642
0.75507,-1.19774,0.0
0.94036,1.18536,0.27906
1.08247,1.321,0.26356
0.55152,1.13286,0.0
0.86175,0.85924,0.0944
0.89965,1.06966,0.28571
1.0239,-0.28026,0.29582
0.77324,0.9911,0.28974
0.91621,0.70305,0.0
0.6926,0.91885,0.0
1.21493,0.23797,0.18691
0.39855,0.39039,0.16162
